title,url
"Mistral bets on ‘build-your-own AI’ as it takes on OpenAI, Anthropic in the enterprise",https://techcrunch.com/2026/03/17/mistral-forge-nvidia-gtc-build-your-own-ai-enterprise/
"Why Garry Tan’s Claude Code setup has gotten so much love, and hate",https://techcrunch.com/2026/03/17/why-garry-tans-claude-code-setup-has-gotten-so-much-love-and-hate/
"The Pentagon is developing alternatives to Anthropic, report says",https://techcrunch.com/2026/03/17/the-pentagon-is-developing-alternatives-to-anthropic-report-says/
BuzzFeed debuts AI slop apps in bid for new revenue,https://techcrunch.com/2026/03/17/buzzfeed-ai-slop-apps-sxsw-bf-island-conjure/
Google’s Personal Intelligence feature is expanding to all US users,https://techcrunch.com/2026/03/17/googles-personal-intelligence-feature-is-expanding-to-all-us-users/
"OpenAI expands government footprint with AWS deal, report says",https://techcrunch.com/2026/03/17/openai-expands-government-footprint-with-aws-deal/
"AI’s ‘boys’ club’ could widen the wealth gap for women, says Rana el Kaliouby",https://techcrunch.com/2026/03/17/ais-boys-club-could-widen-the-wealth-gap-for-women-says-rana-el-kaliouby/
World launches tool to verify humans behind AI shopping agents,https://techcrunch.com/2026/03/17/world-launches-tool-to-verify-humans-behind-ai-shopping-agents/
Niv-AI exits stealth to wring more power performance out of GPUs,https://techcrunch.com/2026/03/17/niv-ai-exits-stealth-to-wring-more-power-performance-out-of-gpus/
Gamma adds AI image-generation tools in bid to take on Canva and Adobe,https://techcrunch.com/2026/03/17/gamma-adds-ai-image-generation-tools-in-bid-to-take-on-canva-and-adobe/
Picsart now allows creators to ‘hire’ AI assistants through agent marketplace,https://techcrunch.com/2026/03/16/picsart-now-allows-creators-to-hire-ai-assistants-through-agent-marketplace/
Nvidia’s version of OpenClaw could solve its biggest problem: security,https://techcrunch.com/2026/03/16/nvidias-version-of-openclaw-could-solve-its-biggest-problem-security/
Jensen Huang just put Nvidia’s Blackwell and Vera Rubin sales projections into the $1 trillion stratosphere,https://techcrunch.com/2026/03/16/jensen-just-put-nvidias-blackwell-and-vera-rubin-sales-projections-into-the-1-trillion-stratosphere/
Warren presses Pentagon over decision to grant xAI access to classified networks,https://techcrunch.com/2026/03/16/warren-presses-pentagon-over-decision-to-grant-xai-access-to-classified-networks/
Memories AI is building the visual memory layer for wearables and robotics,https://techcrunch.com/2026/03/16/memories-ai-is-building-the-visual-memory-layer-for-wearables-and-robotics/
Elon Musk’s xAI faces child porn lawsuit from minors Grok allegedly undressed,https://techcrunch.com/2026/03/16/elon-musks-xai-faces-child-porn-lawsuit-from-minors-grok-allegedly-undressed/
"Nvidia’s DLSS 5 uses generative AI to boost photorealism in video games, with ambitions beyond gaming",https://techcrunch.com/2026/03/16/nvidias-dlss-5-uses-generative-ai-to-boost-photo-realism-in-video-games-with-ambitions-beyond-gaming/
