title,url
"Google, Accel India accelerator chooses 5 startups and none are ‘AI wrappers’",https://techcrunch.com/2026/03/15/google-and-accel-cut-through-wrappers-in-4000-ai-startup-pitches-to-pick-five-tied-to-india/
ByteDance reportedly pauses global launch of its Seedance 2.0 video generator,https://techcrunch.com/2026/03/15/bytedance-reportedly-pauses-global-launch-of-its-seedance-2-0-video-generator/
Lawyer behind AI psychosis cases warns of mass casualty risks,https://techcrunch.com/2026/03/15/lawyer-behind-ai-psychosis-cases-warns-of-mass-casualty-risks/
Wiz investor unpacks Google’s $32B acquisition,https://techcrunch.com/2026/03/15/wiz-investor-unpacks-googles-32b-acquisition/
US Army announces contract with Anduril worth up to $20B,https://techcrunch.com/2026/03/14/us-army-announces-contract-with-anduril-worth-up-to-20b/
Meta reportedly considering layoffs that could affect 20% of the company,https://techcrunch.com/2026/03/14/meta-reportedly-considering-layoffs-that-could-affect-20-of-the-company/
"How to use the new ChatGPT app integrations, including DoorDash, Spotify, Uber, and others",https://techcrunch.com/2026/03/14/how-to-use-the-new-chatgpt-app-integrations-including-doordash-spotify-uber-and-others/
"‘Not built right the first time’ — Musk’s xAI is starting over again, again",https://techcrunch.com/2026/03/13/not-built-right-the-first-time-musks-xai-is-starting-over-again-again/
"Nyne, founded by a father-son duo, gives AI agents the human context they’re missing",https://techcrunch.com/2026/03/13/nyne-founded-by-a-father-son-duo-gives-ai-agents-the-human-context-theyre-missing/
Steven Spielberg says he’s ‘never used AI’ in any of his films,https://techcrunch.com/2026/03/13/steven-spielberg-says-hes-never-used-ai-in-any-of-his-films/
The biggest AI stories of the year (so far),https://techcrunch.com/2026/03/13/the-biggest-ai-stories-of-the-year-so-far/
The wild six weeks for NanoClaw’s creator that led to a deal with Docker,https://techcrunch.com/2026/03/13/the-wild-six-weeks-for-nanoclaws-creator-that-led-to-a-deal-with-docker/
Spotify will let you edit your Taste Profile to control your recommendations,https://techcrunch.com/2026/03/13/spotify-will-let-you-edit-your-taste-profile-to-control-your-recommendations/
"Peacock expands into AI-driven video, mobile-first live sports, and gaming",https://techcrunch.com/2026/03/13/peacock-expands-into-ai-driven-video-mobile-first-live-sports-and-gaming/
"Before quantum computing arrives, this startup wants enterprises already running on it",https://techcrunch.com/2026/03/12/before-quantum-computing-arrives-this-startup-wants-enterprises-already-running-on-it/
Truecaller now lets you hang up on scammers — on behalf of your family,https://techcrunch.com/2026/03/12/truecallers-now-lets-you-hang-up-on-scammers-on-behalf-of-your-family/
How to watch Jensen Huang’s Nvidia GTC 2026 keynote,https://techcrunch.com/2026/03/12/how-to-watch-jensen-huangs-nvidia-gtc-2026-keynote/
"Sales automation startup Rox AI hits $1.2B valuation, sources say",https://techcrunch.com/2026/03/12/sales-automation-startup-rox-ai-hits-1-2b-valuation-sources-say/
Facebook Marketplace now lets Meta AI respond to buyers’ messages,https://techcrunch.com/2026/03/12/facebook-marketplace-now-lets-meta-ai-respond-to-buyers-messages/
"Tinder tries to lure people back to online dating with IRL events, virtual speed dating",https://techcrunch.com/2026/03/12/tinder-tries-to-lure-people-back-to-online-dating-with-irl-events-virtual-speed-dating/
Atlassian follows Block’s footsteps and cuts staff in the name of AI,https://techcrunch.com/2026/03/12/atlassian-follows-blocks-footsteps-and-cuts-staff-in-the-name-of-ai/
"Bumble introduces an AI dating assistant, ‘Bee’",https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/
