title,url
"‘Not built right the first time’ — Musk’s xAI is starting over again, again",https://techcrunch.com/2026/03/13/not-built-right-the-first-time-musks-xai-is-starting-over-again-again/
Lawyer behind AI psychosis cases warns of mass casualty risks,https://techcrunch.com/2026/03/13/lawyer-behind-ai-psychosis-cases-warns-of-mass-casualty-risks/
"Nyne, founded by a father-son duo, gives AI agents the human context they’re missing",https://techcrunch.com/2026/03/13/nyne-founded-by-a-father-son-duo-gives-ai-agents-the-human-context-theyre-missing/
Steven Spielberg says he’s ‘never used AI’ in any of his films,https://techcrunch.com/2026/03/13/steven-spielberg-says-hes-never-used-ai-in-any-of-his-films/
The biggest AI stories of the year (so far),https://techcrunch.com/2026/03/13/the-biggest-ai-stories-of-the-year-so-far/
"Peacock expands into AI-driven video, mobile-first live sports, and gaming",https://techcrunch.com/2026/03/13/peacock-expands-into-ai-driven-video-mobile-first-live-sports-and-gaming/
"Sales automation startup Rox AI hits $1.2B valuation, sources say",https://techcrunch.com/2026/03/12/sales-automation-startup-rox-ai-hits-1-2b-valuation-sources-say/
Facebook Marketplace now lets Meta AI respond to buyers’ messages,https://techcrunch.com/2026/03/12/facebook-marketplace-now-lets-meta-ai-respond-to-buyers-messages/
Atlassian follows Block’s footsteps and cuts staff in the name of AI,https://techcrunch.com/2026/03/12/atlassian-follows-blocks-footsteps-and-cuts-staff-in-the-name-of-ai/
"Bumble introduces an AI dating assistant, ‘Bee’",https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/
A writer is suing Grammarly for turning her and other authors into ‘AI editors’ without consent,https://techcrunch.com/2026/03/12/a-writer-is-suing-grammarly-for-turning-her-and-other-authors-into-ai-editors-without-consent/
Gumloop lands $50M from Benchmark to turn every employee into an AI agent builder,https://techcrunch.com/2026/03/12/gumloop-lands-50m-from-benchmark-to-turn-every-employee-into-an-ai-agent-builder/
Wonderful raises $150M Series B at $2B valuation,https://techcrunch.com/2026/03/12/wonderful-raises-150m-series-b-at-2b-valuation/
Google is using old news reports and AI to predict flash floods,https://techcrunch.com/2026/03/12/google-is-using-old-news-reports-and-ai-to-predict-flash-floods/
Google Maps is getting an AI ‘Ask Maps’ feature and upgraded ‘immersive’ navigation,https://techcrunch.com/2026/03/12/google-maps-is-getting-an-ai-ask-maps-feature-and-upgraded-immersive-navigation/
AI ‘actor’ Tilly Norwood put out the worst song I’ve ever heard,https://techcrunch.com/2026/03/11/ai-actor-tilly-norwood-put-out-the-worst-song-ive-ever-heard/
Ford’s new AI assistant will help fleet owners know if seatbelts are being used,https://techcrunch.com/2026/03/11/fords-new-ai-assistant-will-help-fleet-owners-know-if-seatbelts-are-being-used/
Netflix may have paid $600 million for Ben Affleck’s AI startup,https://techcrunch.com/2026/03/11/netflix-may-have-paid-600-million-for-ben-afflecks-ai-startup/
"Meta acquired Moltbook, the AI agent social network that went viral because of fake posts",https://techcrunch.com/2026/03/10/meta-acquired-moltbook-the-ai-agent-social-network-that-went-viral-because-of-fake-posts/
Yann LeCun’s AMI Labs raises $1.03B to build world models,https://techcrunch.com/2026/03/09/yann-lecuns-ami-labs-raises-1-03-billion-to-build-world-models/
Anthropic launches code review tool to check flood of AI-generated code,https://techcrunch.com/2026/03/09/anthropic-launches-code-review-tool-to-check-flood-of-ai-generated-code/
"A roadmap for AI, if anyone will listen",https://techcrunch.com/2026/03/07/a-roadmap-for-ai-if-anyone-will-listen/
